34100.0,20.0,Technical Director,2 years,RENT,96000.0,Current,credit_card,MD,8.86,660.0,664.0
25000.0,14.08,,,OWN,50000.0,Charged Off,credit_card,LA,20.02,685.0,689.0
22400.0,14.08,Senior architect,8 years,MORTGAGE,188000.0,Current,debt_consolidation,VA,18.26,730.0,734.0
4000.0,10.91,Client Services,5 years,RENT,50000.0,Late (31-120 days),debt_consolidation,MO,10.59,665.0,669.0
4400.0,14.08,Teacher,3 years,RENT,25000.0,Current,credit_card,GA,18.1,660.0,664.0
3000.0,13.59,Physician,9 years,MORTGAGE,95000.0,Current,medical,IL,21.8,685.0,689.0
7200.0,10.91,Nutrition services manager,< 1 year,RENT,66000.0,Current,other,TX,7.1,660.0,664.0
7800.0,7.35,Insurance Rep,2 years,RENT,30500.0,Fully Paid,credit_card,KS,24.93,760.0,764.0
13000.0,9.44,house manager,10+ years,MORTGAGE,126000.0,Fully Paid,credit_card,CA,5.11,725.0,729.0
4800.0,10.42,Installation Technician,3 years,RENT,42500.0,Fully Paid,car,TN,22.2,670.0,674.0
20425.0,16.02,Showroom Manager,3 years,RENT,44419.0,Fully Paid,debt_consolidation,PA,23.86,730.0,734.0
1000.0,7.97,Tech Support Rep,10+ years,RENT,42120.0,Current,medical,KY,12.54,685.0,689.0
15000.0,16.02,Sales Manager,8 years,MORTGAGE,55000.0,Charged Off,credit_card,MT,19.84,665.0,669.0
8000.0,10.42,Detention Officer,6 years,RENT,70000.0,Fully Paid,debt_consolidation,CA,19.8,685.0,689.0
7000.0,7.35,,,MORTGAGE,27132.0,Fully Paid,vacation,IN,17.43,820.0,824.0
2000.0,5.32,In flight refueling specialist,4 years,RENT,50000.0,Current,major_purchase,MI,19.22,785.0,789.0
8500.0,9.93,Screenwriter,10+ years,RENT,65000.0,Current,debt_consolidation,CA,7.02,660.0,664.0
4550.0,12.62,Branch Banker III,3 years,RENT,47000.0,Current,debt_consolidation,MD,15.25,705.0,709.0
25000.0,16.02,Senior Engineer,< 1 year,MORTGAGE,83250.0,Current,debt_consolidation,GA,22.93,690.0,694.0
10850.0,15.05,Store Manager,10+ years,MORTGAGE,51000.0,Current,debt_consolidation,MA,23.18,680.0,684.0
10000.0,15.05,Account manager,2 years,RENT,52000.0,Fully Paid,debt_consolidation,IN,13.82,705.0,709.0
2675.0,23.88,"Cashier ,Produce",1 year,RENT,17000.0,Current,debt_consolidation,IN,18.08,665.0,669.0
9000.0,9.93,Category Management,10+ years,MORTGAGE,110000.0,Fully Paid,car,AR,25.18,725.0,729.0
10000.0,13.59,,,RENT,43000.0,Current,debt_consolidation,SC,12.03,730.0,734.0
4000.0,7.07,Team Lead,10+ years,MORTGAGE,90000.0,Current,home_improvement,NY,15.85,760.0,764.0
5000.0,10.91,Cashier,5 years,MORTGAGE,70000.0,Fully Paid,home_improvement,OR,3.07,660.0,664.0
3000.0,7.97,Software Developer,4 years,RENT,81000.0,Current,medical,TX,25.13,715.0,719.0
5000.0,30.17,Csr,1 year,OWN,23700.0,Current,debt_consolidation,ME,34.08,670.0,674.0
28000.0,16.02,CISO,10+ years,RENT,155000.0,Current,debt_consolidation,MD,6.44,660.0,664.0
30000.0,10.91,Tv news anchor,6 years,MORTGAGE,95000.0,Current,debt_consolidation,MO,20.39,690.0,694.0
20000.0,15.05,Accountant,2 years,RENT,47476.0,Current,credit_card,AL,11.6,675.0,679.0
4000.0,5.32,Attorney,2 years,RENT,72000.0,Current,medical,PA,25.67,750.0,754.0
6025.0,12.62,electrical tech,1 year,RENT,60000.0,Late (31-120 days),debt_consolidation,MA,16.12,680.0,684.0
4325.0,21.45,Customer service manager,8 years,MORTGAGE,40000.0,Charged Off,debt_consolidation,KY,8.52,685.0,689.0
25000.0,15.05,Registered Nurse,10+ years,MORTGAGE,74000.0,Current,credit_card,NC,17.82,680.0,684.0
1500.0,7.97,family consultant,1 year,RENT,46000.0,Fully Paid,vacation,NY,20.25,680.0,684.0
4800.0,11.99,Manager,10+ years,RENT,150000.0,Fully Paid,debt_consolidation,FL,16.89,675.0,679.0
8500.0,5.32,Master Software Engineer,< 1 year,MORTGAGE,150000.0,Current,home_improvement,MD,10.36,745.0,749.0
24000.0,12.62,FES III,10+ years,MORTGAGE,94500.0,Fully Paid,credit_card,PA,12.87,720.0,724.0
13800.0,16.02,Owner,10+ years,RENT,30000.0,Current,home_improvement,NJ,23.21,705.0,709.0
18000.0,15.05,"Manager, FP&A",9 years,MORTGAGE,95000.0,Fully Paid,debt_consolidation,GA,31.68,720.0,724.0
10200.0,9.93,Customer Service,5 years,RENT,48000.0,Current,debt_consolidation,OH,12.8,695.0,699.0
27200.0,13.59,"Dean, Business and Information Tech",10+ years,MORTGAGE,100000.0,Current,debt_consolidation,AR,26.38,735.0,739.0
14400.0,20.0,Quality Assurance Supervisor,< 1 year,RENT,45000.0,Current,debt_consolidation,NY,6.77,670.0,674.0
29000.0,12.62,pest control technician,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,MA,24.75,770.0,774.0
6000.0,7.97,"REGISTERED NURSE, BSN",5 years,MORTGAGE,60000.0,Current,medical,FL,18.76,705.0,709.0
